game,table
aoz,dim_item_prop
aoz,dim_server_info
aoz,dim_sso_create_user
aoz,dim_user_info_all
aoz,dim_user_type
aoz,dwd_appsflyer_info_new
aoz,dwd_login_record
aoz,dwd_mergeserver_info
aoz,dwd_operate_battle_log
aoz,dwd_operate_device_log
aoz,dwd_operate_power_log
aoz,dwd_operate_res_log
aoz,dwd_operate_troop_log
aoz,dwd_payment_record
aoz,dwd_sandbox_user
aoz,dwd_server_info
aoz,dwd_server_loop_close_time
aoz,dwd_server_loop_open_time
aoz,dwd_sso_create_user
aoz,dwd_user_account
aoz,dwd_user_info
aoz,dwd_user_info_ext
aoz,dws_login_record
aoz,dws_operate_battle_log
aoz,dws_operate_power_log
aoz,dws_operate_res_log
aoz,dws_user_info_base
ody,dim_item_prop
ody,dim_server_info
ody,dim_sso_create_user
ody,dim_user_info_all
ody,dim_user_type
ody,dwd_appsflyer_info_new
ody,dwd_login_record
ody,dwd_mergeserver_info
ody,dwd_operate_battle_log
ody,dwd_operate_device_log
ody,dwd_operate_power_log
ody,dwd_operate_res_log
ody,dwd_operate_troop_log
ody,dwd_payment_record
ody,dwd_sandbox_user
ody,dwd_server_info
ody,dwd_server_loop_close_time
ody,dwd_server_loop_open_time
ody,dwd_sso_create_user
ody,dwd_user_account
ody,dwd_user_info
ody,dwd_user_info_ext
ody,dws_login_record
ody,dws_operate_battle_log
ody,dws_operate_power_log
ody,dws_operate_res_log
ody,dws_user_info_base
wao,dim_aso_user
wao,dim_item_prop
wao,dim_server_info
wao,dim_sso_create_user
wao,dim_user_info_all
wao,dim_user_type
wao,dwd_appsflyer_info_new
wao,dwd_aso_user
wao,dwd_login_record
wao,dwd_mergeserver_info
wao,dwd_operate_battle_log
wao,dwd_operate_device_log
wao,dwd_operate_power_log
wao,dwd_operate_res_log
wao,dwd_operate_troop_log
wao,dwd_payment_record
wao,dwd_sandbox_user
wao,dwd_server_info
wao,dwd_server_loop_close_time
wao,dwd_server_loop_open_time
wao,dwd_sso_create_user
wao,dwd_user_account
wao,dwd_user_info
wao,dwd_user_info_ext
wao,dws_login_record
wao,dws_operate_battle_log
wao,dws_operate_power_log
wao,dws_operate_res_log
wao,dws_user_info_base
